1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,
5540,9400,15835,18511,20460,26928,27598,32955,34667,35791,35828,36495,37423,37584,37629,38161,39189,39529,40178,40561,41844,42092,43744,46274,50201,50379,51039,51438,51580,51632,52163,52501,1,,55,94,158,185,204,269,275,329,346,357,358,364,374,375,376,381,391,395,401,405,418,420,437,462,502,503,510,514,515,516,521,525,1,
7840,15292,16903,19940,20915,23474,25376,25627,26874,28260,31184,31844,31978,33233,33704,34422,35350,35424,35790,36000,36544,37093,37641,37841,37866,38873,39358,39641,40149,40542,41331,41841,1,,78,152,169,199,209,234,253,256,268,282,311,318,319,332,337,344,353,354,357,360,365,370,376,378,378,388,393,396,401,405,413,418,1,
163,8570,12785,17186,20095,20577,21261,25799,26798,26936,28052,29131,29176,31592,32464,32801,33455,34420,35032,35369,35792,36290,37860,39331,39835,40037,40669,41453,42809,47234,48022,49336,1,,1,85,127,171,200,205,212,257,267,269,280,291,291,315,324,328,334,344,350,353,357,362,378,393,398,400,406,414,428,472,480,493,1,
3840,7430,11511,13561,13810,16782,23204,24122,27359,27420,29197,29762,30532,31587,34374,36831,38436,38790,38828,40057,40537,40863,41776,41803,44159,44657,44793,45984,46542,47699,48730,48949,1,,38,74,115,135,138,167,232,241,273,274,291,297,305,315,343,368,384,387,388,400,405,408,417,418,441,446,447,459,465,476,487,489,1,
5290,7350,7950,12173,13230,18570,18901,19165,20909,25194,28007,28200,31913,32639,33092,33113,33786,36173,37253,38834,39570,42778,42800,42850,42892,43670,44075,44756,45455,45479,45964,47739,1,,52,73,79,121,132,185,189,191,209,251,280,282,319,326,330,331,337,361,372,388,395,427,428,428,428,436,440,447,454,454,459,477,1,
7320,21256,22234,22262,23090,23273,24655,25949,28122,29729,31044,31702,33317,33374,33395,33723,34997,35451,37205,37611,39227,39233,40168,40172,40399,40465,41354,42603,42883,42987,43715,44818,1,,73,212,222,222,230,232,246,259,281,297,310,317,333,333,333,337,349,354,372,376,392,392,401,401,403,404,413,426,428,429,437,448,1,
4950,5130,8240,13412,17402,20241,21082,22363,26519,30779,31005,32233,33865,34426,35818,36001,36578,37070,37881,38543,38831,38982,39528,39715,43391,43506,43704,44981,45090,45984,47162,47752,1,,49,51,82,134,174,202,210,223,265,307,310,322,338,344,358,360,365,370,378,385,388,389,395,397,433,435,437,449,450,459,471,477,1,
7290,13294,17674,18102,19940,20795,20980,21741,25522,25659,27027,27696,28059,29313,31705,36786,36793,36986,39775,41808,41887,42583,42921,43883,45730,45906,46399,46730,47570,47600,48441,50303,1,,72,132,176,181,199,207,209,217,255,256,270,276,280,293,317,367,367,369,397,418,418,425,429,438,457,459,463,467,475,476,484,503,1,
7770,11321,13476,14184,14638,15540,18975,19362,20323,20999,21697,24217,26024,26536,33041,37015,39337,40942,43106,44544,45092,47539,49285,49440,49565,50385,51437,51915,52984,53010,53721,54510,1,,77,113,134,141,146,155,189,193,203,209,216,242,260,265,330,370,393,409,431,445,450,475,492,494,495,503,514,519,529,530,537,545,1,
9140,11067,19055,21249,21578,21970,24143,25275,26165,27767,27884,28550,31380,34499,38092,41355,41457,41807,43186,43445,43514,43645,44241,44778,45435,45481,46470,47877,47885,48041,49762,50096,1,,91,110,190,212,215,219,241,252,261,277,278,285,313,344,380,413,414,418,431,434,435,436,442,447,454,454,464,478,478,480,497,500,1,
1680,6600,7730,12648,12761,14715,17906,19660,20049,23995,25241,25935,30212,30537,31692,32950,33209,35196,36030,36418,38429,39631,40130,40299,40354,40372,41754,44653,44810,45105,45668,46932,1,,16,66,77,126,127,147,179,196,200,239,252,259,302,305,316,329,332,351,360,364,384,396,401,402,403,403,417,446,448,451,456,469,1,
7040,7740,8110,10129,14946,16321,16515,16525,21435,21852,24013,25263,26690,26882,27225,28363,29726,31188,32979,33822,35612,38089,38136,38594,39270,39502,39516,40264,40721,42150,42372,44015,1,,70,77,81,101,149,163,165,165,214,218,240,252,266,268,272,283,297,311,329,338,356,380,381,385,392,395,395,402,407,421,423,440,1,
9310,11143,13049,13260,14709,17703,18460,24225,24588,26081,28697,29407,30927,31262,31920,31963,33868,33879,36635,36851,38360,39594,39849,40118,40847,42310,43110,44835,45801,45858,46566,46918,1,,93,111,130,132,147,177,184,242,245,260,286,294,309,312,319,319,338,338,366,368,383,395,398,401,408,423,431,448,458,458,465,469,1,
2710,3050,8030,8530,16183,16478,17222,17241,18533,18755,20283,20584,22358,22573,24828,25104,27826,30646,31052,31819,31865,32919,34866,34928,35192,35272,36378,36674,36717,36873,37809,38046,1,,27,30,80,85,161,164,172,172,185,187,202,205,223,225,248,251,278,306,310,318,318,329,348,349,351,352,363,366,367,368,378,380,1,
11620,11830,12349,13049,15818,18001,19839,19976,22198,26332,26827,28918,29474,31096,31097,31489,31698,32000,33786,34448,34927,35914,36994,38643,40558,40747,42735,43444,46786,47459,47562,47678,1,,116,118,123,130,158,180,198,199,221,263,268,289,294,310,310,314,316,320,337,344,349,359,369,386,405,407,427,434,467,474,475,476,1,
12189,17135,18196,20279,23337,23966,25126,26021,30935,32621,33059,33127,35306,35836,36552,36671,36897,37749,37924,38219,39945,40454,43483,44820,44939,45149,45817,47352,47586,48290,48819,48969,1,,121,171,181,202,233,239,251,260,309,326,330,331,353,358,365,366,368,377,379,382,399,404,434,448,449,451,458,473,475,482,488,489,1,
