1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
55400,94000,158349,185109,204603,269281,275984,329552,346673,357912,358281,364951,374231,375835,376291,381607,391893,395294,401784,405608,418435,420917,437443,462736,502014,503786,510391,514379,515797,516320,521630,525010,527818,533362,534960,537729,554793,582794,586251,593393,604131,605539,605938,612053,616948,629170,635781,649670,650806,655011,655467,656632,660457,663655,679710,681650,681844,692736,696930,697103,697514,701212,705696,713687,1
78400,152918,169028,199396,209151,234743,253762,256271,268739,282599,311843,318439,319779,332329,337042,344221,353500,354244,357898,359999,365443,370925,376407,378407,378663,388726,393580,396413,401491,405416,413313,418411,427439,443537,451241,455056,470327,470631,471784,473915,483643,485820,490415,496032,499123,516134,529975,530270,550463,557319,563765,565472,573358,579905,582960,589033,589641,601847,610305,613834,615551,619087,619375,624174,1
1630,85700,127846,171863,200945,205773,212607,257988,267975,269364,280523,291313,291755,315917,324637,328006,334553,344200,350317,353686,357919,362902,378603,393307,398345,400372,406693,414532,428088,472342,480219,493363,504084,513761,515103,519287,525473,525489,567879,567945,579380,586675,591444,606532,618638,621583,625179,628242,637459,640169,641434,661464,666762,671133,673277,696204,714864,716360,722424,723051,735283,737023,737024,750362,1
38400,74300,115111,135608,138104,167817,232038,241221,273586,274203,291968,297615,305315,315867,343742,368309,384362,387903,388284,400570,405369,408628,417759,418027,441591,446570,447928,459839,465423,476991,487295,489486,489953,504050,513019,520400,554446,557294,559632,564226,567454,570384,578665,584474,585868,586979,589208,594532,595881,605088,609905,615435,621457,627420,631044,645884,646456,651773,654941,659741,660974,661102,663573,666061,1
52900,73500,79500,121733,132303,185702,189009,191647,209085,251938,280069,281999,319130,326393,330919,331130,337855,361729,372531,388342,395701,427776,427997,428502,428919,436703,440753,447557,454550,454789,459643,477393,479962,492332,501345,517642,535665,535844,540765,552056,557125,564503,564589,568820,569394,594486,596984,608424,617183,621816,626175,627260,658108,664852,666089,675132,682885,686700,687111,688473,692786,697031,703759,705217,1
73200,212555,222344,222619,230904,232731,246553,259485,281221,297286,310436,317024,333165,333736,333949,337228,349968,354505,372053,376111,392268,392327,401681,401715,403988,404650,413539,426031,428827,429869,437154,448177,453284,453518,459914,464104,465571,469184,484017,485210,489600,490015,493503,527054,528214,532565,553838,557366,571140,584933,601406,603421,614479,616745,629953,646587,660210,661016,668351,669822,684759,684965,689203,694284,1
49500,51300,82400,134121,174022,202405,210824,223626,265191,307790,310052,322332,338653,344258,358175,360006,365777,370700,378809,385426,388305,389819,395276,397154,433910,435063,437044,449811,450901,459838,471615,477515,478590,480090,490552,496252,498909,505953,506421,512928,513613,518706,527811,539029,542467,545925,547277,554950,555037,555403,568085,574867,584966,588003,588713,591810,604149,605200,608998,609059,611808,612438,636272,649380,1
72900,132944,176739,181015,199404,207948,209804,217405,255224,256587,270274,276955,280587,293125,317045,367863,367929,369857,397754,418077,418868,425829,429208,438826,457299,459061,463988,467300,475700,476002,484412,503030,505095,505663,516241,525802,548399,563634,568020,571711,592768,598524,601971,607243,608142,614486,624232,638539,647099,663072,666060,667378,684765,691312,695126,701033,703237,711794,716284,718566,725004,725799,727588,730475,1
77700,113208,134755,141837,146379,155396,189752,193623,203232,209990,216970,242172,260235,265356,330412,370153,393370,409416,431059,445441,450916,475391,492848,494400,495650,503847,514371,519146,529838,530103,537207,545102,545413,546974,557527,581048,583686,587333,588524,593858,594543,594555,613395,617852,620736,632295,634995,652913,666019,666077,686189,692064,694014,700671,704618,705923,707212,737621,742711,756136,772987,773483,773604,776582,1
91400,110665,190546,212488,215779,219695,241432,252752,261652,277674,278835,285503,313800,344994,380922,413554,414568,418072,431862,434447,435143,436454,442414,447778,454352,454813,464703,478768,478845,480413,497620,500957,503732,515784,517504,519046,522698,539787,541517,545844,552947,553004,564986,576407,580257,596800,597569,598257,600550,610992,611613,634991,637138,639265,640208,640339,646697,653791,663984,664293,678428,680188,683226,699310,1
