1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
5540,9400,15834,18510,20460,26928,27598,32955,34667,35791,35828,36495,37423,37583,37629,38160,39189,39529,40178,40560,41843,42091,43744,46273,50201,50378,51039,51437,51579,51632,52163,52501,52781,53336,53496,53772,55479,58279,58625,59339,60413,60553,60593,61205,61694,62917,63578,64967,65080,65501,65546,65663,66045,66365,67971,68165,68184,69273,69693,69710,69751,70121,70569,71368,1
7840,15291,16902,19939,20915,23474,25376,25627,26873,28259,31184,31843,31977,33232,33704,34422,35350,35424,35789,35999,36544,37092,37640,37840,37866,38872,39358,39641,40149,40541,41331,41841,42743,44353,45124,45505,47032,47063,47178,47391,48364,48582,49041,49603,49912,51613,52997,53027,55046,55731,56376,56547,57335,57990,58296,58903,58964,60184,61030,61383,61555,61908,61937,62417,1
163,8570,12784,17186,20094,20577,21260,25798,26797,26936,28052,29131,29175,31591,32463,32800,33455,34420,35031,35368,35791,36290,37860,39330,39834,40037,40669,41453,42808,47234,48021,49336,50408,51376,51510,51928,52547,52548,56787,56794,57938,58667,59144,60653,61863,62158,62517,62824,63745,64016,64143,66146,66676,67113,67327,69620,71486,71636,72242,72305,73528,73702,73702,75036,1
3840,7430,11511,13560,13810,16781,23203,24122,27358,27420,29196,29761,30531,31586,34374,36830,38436,38790,38828,40057,40536,40862,41775,41802,44159,44657,44792,45983,46542,47699,48729,48948,48995,50405,51301,52040,55444,55729,55963,56422,56745,57038,57866,58447,58586,58697,58920,59453,59588,60508,60990,61543,62145,62742,63104,64588,64645,65177,65494,65974,66097,66110,66357,66606,1
5290,7350,7950,12173,13230,18570,18900,19164,20908,25193,28006,28199,31913,32639,33091,33113,33785,36172,37253,38834,39570,42777,42799,42850,42891,43670,44075,44755,45455,45478,45964,47739,47996,49233,50134,51764,53566,53584,54076,55205,55712,56450,56458,56882,56939,59448,59698,60842,61718,62181,62617,62726,65810,66485,66608,67513,68288,68670,68711,68847,69278,69703,70375,70521,1
7320,21255,22234,22261,23090,23273,24655,25948,28122,29728,31043,31702,33316,33373,33394,33722,34996,35450,37205,37611,39226,39232,40168,40171,40398,40465,41353,42603,42882,42986,43715,44817,45328,45351,45991,46410,46557,46918,48401,48521,48960,49001,49350,52705,52821,53256,55383,55736,57114,58493,60140,60342,61447,61674,62995,64658,66021,66101,66835,66982,68475,68496,68920,69428,1
4950,5130,8240,13412,17402,20240,21082,22362,26519,30779,31005,32233,33865,34425,35817,36000,36577,37070,37880,38542,38830,38981,39527,39715,43391,43506,43704,44981,45090,45983,47161,47751,47859,48009,49055,49625,49890,50595,50642,51292,51361,51870,52781,53902,54246,54592,54727,55495,55503,55540,56808,57486,58496,58800,58871,59181,60414,60520,60899,60905,61180,61243,63627,64938,1
7290,13294,17673,18101,19940,20794,20980,21740,25522,25658,27027,27695,28058,29312,31704,36786,36792,36985,39775,41807,41886,42582,42920,43882,45729,45906,46398,46730,47570,47600,48441,50303,50509,50566,51624,52580,54839,56363,56802,57171,59276,59852,60197,60724,60814,61448,62423,63853,64709,66307,66606,66737,68476,69131,69512,70103,70323,71179,71628,71856,72500,72579,72758,73047,1
7770,11320,13475,14183,14637,15539,18975,19362,20323,20999,21697,24217,26023,26535,33041,37015,39337,40941,43105,44544,45091,47539,49284,49440,49565,50384,51437,51914,52983,53010,53720,54510,54541,54697,55752,58104,58368,58733,58852,59385,59454,59455,61339,61785,62073,63229,63499,65291,66601,66607,68618,69206,69401,70067,70461,70592,70721,73762,74271,75613,77298,77348,77360,77658,1
9140,11066,19054,21248,21577,21969,24143,25275,26165,27767,27883,28550,31380,34499,38092,41355,41456,41807,43186,43444,43514,43645,44241,44777,45435,45481,46470,47876,47884,48041,49762,50095,50373,51578,51750,51904,52269,53978,54151,54584,55294,55300,56498,57640,58025,59680,59756,59825,60055,61099,61161,63499,63713,63926,64020,64033,64669,65379,66398,66429,67842,68018,68322,69931,1
