1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
7,11,15,16,17,18,20,20,21,22,24,24,26,27,27,28,28,29,30,32,34,34,35,35,35,36,37,37,41,42,42,46,47,48,48,49,49,49,50,50,51,51,54,54,54,55,56,57,57,57,58,59,60,60,60,61,61,62,63,65,65,65,65,65,1
2,2,4,8,9,13,14,15,16,18,19,20,20,21,21,24,25,27,27,28,29,29,32,33,33,34,37,38,40,40,41,42,42,43,44,45,46,46,46,48,49,50,51,52,54,54,54,55,56,57,57,58,58,61,61,61,62,62,62,63,63,65,66,69,1
16,19,21,22,26,27,27,29,29,30,33,34,36,37,37,38,40,41,42,43,43,44,44,44,49,50,51,51,51,51,53,54,56,59,59,60,61,62,62,62,64,64,66,66,67,68,68,69,71,72,72,72,74,75,75,76,76,77,77,78,78,80,81,82,1
6,12,18,19,20,21,21,23,24,24,24,25,27,28,32,32,33,33,33,35,37,40,41,42,42,42,42,43,43,44,44,46,46,47,47,48,50,50,51,51,53,54,54,54,55,56,56,57,57,57,57,58,60,60,60,60,61,61,62,62,64,66,66,68,1
11,12,13,20,22,23,24,25,25,30,31,32,32,33,33,33,34,34,36,36,37,38,40,41,41,42,42,42,43,43,45,46,48,49,49,50,50,51,52,52,53,54,55,56,56,57,59,59,59,59,59,63,63,63,63,63,65,65,65,65,66,66,66,68,1
7,11,15,18,18,19,20,25,26,27,28,29,29,30,31,32,33,34,35,40,42,44,45,46,46,49,50,53,54,55,55,56,56,57,58,58,60,60,61,61,62,62,63,63,64,64,65,67,67,67,68,68,69,69,69,71,71,71,71,72,72,73,73,73,1
1,5,7,10,10,12,13,15,15,15,17,19,20,20,21,23,24,24,24,25,26,28,28,29,30,31,31,31,33,35,35,36,36,37,37,41,42,42,42,42,43,43,43,44,44,44,45,46,46,46,46,47,47,48,49,50,50,50,51,51,51,54,55,55,1
11,11,11,12,13,13,14,15,15,19,20,21,21,22,23,27,27,31,33,33,34,34,36,38,40,41,41,46,46,46,47,48,48,51,52,52,53,53,55,55,56,58,58,58,59,59,60,61,61,62,62,62,62,63,65,66,66,66,66,67,68,69,69,71,1
5,8,9,10,16,17,19,25,26,30,35,35,36,37,40,42,42,42,43,43,44,44,45,45,46,46,48,49,49,49,50,50,53,53,54,54,55,55,56,56,57,57,58,58,58,59,60,62,62,63,63,64,64,65,66,67,68,69,70,71,71,72,72,73,1
1,1,5,9,11,12,14,16,17,17,17,18,19,21,22,24,26,26,27,30,32,33,33,34,36,36,36,37,40,40,41,41,42,43,44,45,45,45,46,47,47,48,49,49,50,51,51,52,53,53,54,55,55,56,57,57,57,58,60,61,61,63,63,63,1
