1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
35,53,76,59,23,14,3,10,3,22,3,30,2,3,3,0,6,1,10,6,12,5,16,0,5,1,2,2,3,6,2,2,1,1,1
23,51,57,49,30,13,1,16,5,13,6,14,3,0,0,0,13,1,11,1,3,2,3,0,1,1,0,2,3,6,10,6,2,8,1
31,53,69,52,25,10,2,9,2,35,3,32,1,0,7,0,5,2,7,2,8,10,13,0,2,2,4,1,0,12,4,5,0,1,1
25,39,66,42,24,11,2,9,8,12,0,15,1,1,1,0,2,5,3,4,1,0,3,2,1,1,2,0,1,6,8,7,5,1,1
32,60,61,55,24,12,2,5,5,17,5,33,3,1,6,0,3,0,7,1,7,5,13,3,6,5,2,1,1,12,4,8,1,0,1
19,39,47,36,27,13,3,8,3,13,6,10,0,1,0,0,1,0,5,1,1,0,4,2,1,1,5,0,3,2,11,6,5,2,1
8,21,20,7,9,3,0,4,0,2,1,1,0,0,0,0,1,0,6,2,4,7,6,3,3,5,12,1,1,11,17,13,2,4,1
26,73,67,63,41,20,3,21,6,22,5,40,3,1,5,0,8,2,4,5,6,5,22,0,0,2,2,1,0,3,1,1,0,1,1
26,73,67,63,41,20,3,21,6,22,5,40,3,1,5,0,8,2,4,5,6,5,22,0,0,2,2,1,0,3,1,1,0,1,1
13,26,9,9,6,0,0,2,1,1,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,1,0,0,1,1,1
14,14,19,19,10,8,0,3,1,6,3,11,1,3,4,0,6,0,12,2,10,16,10,4,5,1,5,0,3,14,12,10,2,1,1
41,76,78,56,34,20,6,6,5,30,4,33,0,0,1,0,4,1,8,10,6,1,15,1,1,0,0,1,3,4,3,4,1,0,1
11,38,19,14,8,3,1,1,1,7,2,12,1,0,0,0,4,1,7,3,6,9,10,1,3,6,9,7,1,10,11,10,2,2,1
8,25,14,14,8,5,0,3,2,3,0,5,0,1,1,0,2,1,1,1,0,2,2,1,0,0,0,0,0,6,5,5,1,5,1
17,34,19,14,7,4,1,1,0,6,0,7,1,0,0,0,4,1,6,1,7,4,12,2,3,7,4,7,3,23,11,11,5,5,1
34,48,58,52,17,7,1,9,2,22,9,34,3,1,4,0,5,0,6,2,5,2,9,0,2,0,0,5,0,7,9,10,0,0,1
11,24,22,15,6,7,2,1,1,10,1,5,1,0,0,0,0,1,6,1,5,2,11,1,2,3,4,4,3,5,7,8,8,4,1
23,25,22,19,10,7,0,3,0,6,0,4,1,0,0,0,3,0,2,1,0,0,3,0,2,0,2,0,2,0,6,7,4,5,1
49,79,107,79,41,22,2,18,6,28,6,30,3,0,2,0,6,3,5,8,6,2,7,1,2,0,0,1,1,2,1,2,1,1,1
25,13,29,15,7,4,0,4,1,2,1,7,0,0,1,0,1,2,3,1,1,3,11,1,8,1,1,7,4,21,12,20,7,6,1
39,86,111,73,38,21,3,14,8,23,3,27,4,0,2,0,3,1,3,3,7,3,18,0,2,0,2,3,3,0,3,3,1,0,1
