1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
5.54E-05,9.40E-05,0.000158349,0.000185109,0.000204603,0.000269281,0.000275984,0.000329552,0.000346673,0.000357912,0.000358281,0.000364951,0.000374231,0.000375835,0.000376291,0.000381607,0.000391893,0.000395294,0.000401784,0.000405608,0.000418435,0.000420917,0.000437443,0.000462736,0.000502014,0.000503786,0.000510391,0.000514379,0.000515797,0.00051632,0.00052163,0.00052501,0.000527818,0.000533362,0.00053496,0.000537729,0.000554793,0.000582794,0.000586251,0.000593393,0.000604131,0.000605539,0.000605938,0.000612053,0.000616948,0.00062917,0.000635781,0.00064967,0.000650806,0.000655011,0.000655467,0.000656632,0.000660457,0.000663655,0.00067971,0.00068165,0.000681844,0.000692736,0.00069693,0.000697103,0.000697514,0.000701212,0.000705696,0.000713687,0.000714791,0.000718874,0.000723271,0.000731736,0.00073516,0.000738338,0.000750037,0.000750403,0.000756058,0.000761487,0.000767041,0.000779485,0.000788683,0.000791236,0.000797551,0.000801234,0.000806741,0.000808413,0.000821491,0.000832242,0.000832747,0.000833301,0.000837689,0.000853367,0.000865975,0.000873808,0.000877813,0.000889285,0.000889444,0.000894415,0.000897249,0.000903174,0.000905751,0.000907157,0.000907416,0.000908429,0.000909225,0.00091441,0.000922598,0.000922703,0.000923677,0.000925169,0.000928348,0.000933057,0.000937016,0.000938634,0.00094518,0.000945459,0.00095066,0.000951396,0.00095486,0.000955221,0.000957907,0.000960115,0.000965122,0.000966345,0.000966801,0.000968405,0.000974626,0.000974643,0.000976351,0.000977431,0.000983766,0.000984324,1
7.84E-05,0.000152918,0.000169028,0.000199396,0.000209151,0.000234743,0.000253762,0.000256271,0.000268739,0.000282599,0.000311843,0.000318439,0.000319779,0.000332329,0.000337042,0.000344221,0.0003535,0.000354244,0.000357898,0.000359999,0.000365443,0.000370925,0.000376407,0.000378407,0.000378663,0.000388726,0.00039358,0.000396413,0.000401491,0.000405416,0.000413313,0.000418411,0.000427439,0.000443537,0.000451241,0.000455056,0.000470327,0.000470631,0.000471784,0.000473915,0.000483643,0.00048582,0.000490415,0.000496032,0.000499123,0.000516134,0.000529975,0.00053027,0.000550463,0.000557319,0.000563765,0.000565472,0.000573358,0.000579905,0.00058296,0.000589033,0.000589641,0.000601847,0.000610305,0.000613834,0.000615551,0.000619087,0.000619375,0.000624174,0.000627862,0.000633727,0.000637351,0.000644714,0.000652708,0.000656898,0.00065892,0.000663177,0.000667741,0.000673307,0.000682103,0.000685741,0.000696691,0.000697556,0.000700047,0.000702063,0.000703312,0.000706104,0.000709877,0.000715752,0.000721508,0.000729971,0.000732621,0.00073968,0.000745538,0.0007486,0.000752012,0.000755485,0.000756075,0.000763928,0.000765917,0.000793137,0.000794105,0.000804596,0.000813966,0.000817097,0.000819239,0.000822665,0.000823917,0.000827034,0.000830187,0.000833136,0.000841517,0.000845703,0.00085548,0.000861428,0.000865783,0.000866631,0.000867984,0.000874333,0.00087718,0.000884643,0.000886558,0.00089055,0.000890589,0.000895758,0.000897179,0.000897322,0.000898232,0.000905558,0.000911589,0.000915696,0.000923629,0.000929282,1
1.63E-06,8.57E-05,0.000127846,0.000171863,0.000200945,0.000205773,0.000212607,0.000257988,0.000267975,0.000269364,0.000280523,0.000291313,0.000291755,0.000315917,0.000324637,0.000328006,0.000334553,0.0003442,0.000350317,0.000353686,0.000357919,0.000362902,0.000378603,0.000393307,0.000398345,0.000400372,0.000406693,0.000414532,0.000428088,0.000472342,0.000480219,0.000493363,0.000504084,0.000513761,0.000515103,0.000519287,0.000525473,0.000525489,0.000567879,0.000567945,0.00057938,0.000586675,0.000591444,0.000606532,0.000618638,0.000621583,0.000625179,0.000628242,0.000637459,0.000640169,0.000641434,0.000661464,0.000666762,0.000671133,0.000673277,0.000696204,0.000714864,0.00071636,0.000722424,0.000723051,0.000735283,0.000737023,0.000737024,0.000750362,0.000756457,0.000759025,0.000761087,0.000765481,0.000786167,0.000786203,0.000798851,0.000803169,0.000804496,0.000805941,0.000815088,0.000818285,0.000827103,0.000835802,0.000842209,0.0008454,0.000849558,0.000850034,0.000855964,0.000857457,0.000860534,0.000867742,0.000867864,0.000867994,0.000871431,0.000873813,0.00087517,0.000876642,0.000889999,0.00089985,0.000902934,0.000909398,0.000912421,0.000917143,0.000921353,0.000929169,0.000931552,0.00093193,0.000931966,0.000943518,0.000946085,0.00094862,0.000952878,0.000958509,0.000962643,0.000968566,0.000972341,0.000974976,0.000978653,0.000998155,0.001001504,0.001010931,0.001014286,0.001020135,0.001025105,0.001031076,0.001041761,0.001049679,0.001050384,0.001051547,0.001054285,0.001067277,0.001073963,0.001076787,1
3.84E-05,7.43E-05,0.000115111,0.000135608,0.000138104,0.000167817,0.000232038,0.000241221,0.000273586,0.000274203,0.000291968,0.000297615,0.000305315,0.000315867,0.000343742,0.000368309,0.000384362,0.000387903,0.000388284,0.00040057,0.000405369,0.000408628,0.000417759,0.000418027,0.000441591,0.00044657,0.000447928,0.000459839,0.000465423,0.000476991,0.000487295,0.000489486,0.000489953,0.00050405,0.000513019,0.0005204,0.000554446,0.000557294,0.000559632,0.000564226,0.000567454,0.000570384,0.000578665,0.000584474,0.000585868,0.000586979,0.000589208,0.000594532,0.000595881,0.000605088,0.000609905,0.000615435,0.000621457,0.00062742,0.000631044,0.000645884,0.000646456,0.000651773,0.000654941,0.000659741,0.000660974,0.000661102,0.000663573,0.000666061,0.000675501,0.000679153,0.000688463,0.00069957,0.000723765,0.000728437,0.000730954,0.000734439,0.000734506,0.000735494,0.000741942,0.00074744,0.000752869,0.00075342,0.000754,0.000758149,0.000767792,0.000768378,0.000776946,0.00078373,0.000800741,0.000804953,0.000805755,0.000806819,0.000807163,0.00081764,0.000821603,0.000831478,0.000843036,0.000843849,0.00084785,0.000851567,0.000852029,0.000852942,0.000853874,0.000854338,0.000854367,0.000855123,0.000855151,0.000858273,0.00085854,0.000858835,0.000859448,0.000859655,0.000862431,0.000867926,0.000869483,0.000871316,0.000874452,0.00087536,0.00088166,0.000884419,0.00088486,0.000885091,0.000886402,0.000895877,0.000906128,0.000916627,0.000921747,0.000927109,0.000930011,0.000931642,0.000938622,0.000938822,1
5.29E-05,7.35E-05,7.95E-05,0.000121733,0.000132303,0.000185702,0.000189009,0.000191647,0.000209085,0.000251938,0.000280069,0.000281999,0.00031913,0.000326393,0.000330919,0.00033113,0.000337855,0.000361729,0.000372531,0.000388342,0.000395701,0.000427776,0.000427997,0.000428502,0.000428919,0.000436703,0.000440753,0.000447557,0.00045455,0.000454789,0.000459643,0.000477393,0.000479962,0.000492332,0.000501345,0.000517642,0.000535665,0.000535844,0.000540765,0.000552056,0.000557125,0.000564503,0.000564589,0.00056882,0.000569394,0.000594486,0.000596984,0.000608424,0.000617183,0.000621816,0.000626175,0.00062726,0.000658108,0.000664852,0.000666089,0.000675132,0.000682885,0.0006867,0.000687111,0.000688473,0.000692786,0.000697031,0.000703759,0.000705217,0.000712769,0.000715521,0.00071864,0.000723036,0.000739982,0.000751039,0.00075559,0.000763469,0.000782596,0.000795751,0.000795851,0.000797469,0.000825825,0.000834615,0.000852311,0.000855321,0.000858928,0.000864155,0.000872995,0.000873633,0.000875425,0.000877221,0.000878901,0.000879962,0.00089188,0.000898362,0.000900255,0.000901752,0.000905757,0.000915304,0.000927606,0.000929947,0.000938495,0.000943018,0.000948092,0.000949445,0.000949776,0.000954213,0.000958131,0.000962404,0.000964122,0.000970649,0.000970761,0.000971262,0.000985208,0.000986163,0.000986847,0.000987322,0.000990113,0.00099376,0.001004727,0.001012875,0.001019115,0.001027804,0.001031009,0.001041791,0.001044564,0.001054467,0.001055692,0.001057191,0.001057597,0.001057819,0.001061919,0.001073369,1
7.32E-05,0.000212555,0.000222344,0.000222619,0.000230904,0.000232731,0.000246553,0.000259485,0.000281221,0.000297286,0.000310436,0.000317024,0.000333165,0.000333736,0.000333949,0.000337228,0.000349968,0.000354505,0.000372053,0.000376111,0.000392268,0.000392327,0.000401681,0.000401715,0.000403988,0.00040465,0.000413539,0.000426031,0.000428827,0.000429869,0.000437154,0.000448177,0.000453284,0.000453518,0.000459914,0.000464104,0.000465571,0.000469184,0.000484017,0.00048521,0.0004896,0.000490015,0.000493503,0.000527054,0.000528214,0.000532565,0.000553838,0.000557366,0.00057114,0.000584933,0.000601406,0.000603421,0.000614479,0.000616745,0.000629953,0.000646587,0.00066021,0.000661016,0.000668351,0.000669822,0.000684759,0.000684965,0.000689203,0.000694284,0.000700759,0.000710988,0.000726077,0.00073057,0.000752109,0.000753812,0.000756129,0.000756454,0.000762769,0.000763216,0.000764045,0.000773244,0.000774388,0.000777648,0.000782977,0.000784848,0.000786996,0.000789426,0.000790624,0.000791515,0.000801339,0.000808646,0.000819153,0.00082484,0.000829594,0.000837161,0.000839105,0.000841001,0.000844985,0.000846129,0.000853379,0.000856797,0.000859787,0.000862547,0.000864676,0.000878647,0.000880589,0.000882316,0.000884329,0.000887537,0.000893895,0.000897817,0.00089812,0.000905573,0.000906574,0.000907402,0.00091144,0.000912999,0.000915563,0.000918825,0.000924347,0.000924937,0.000925809,0.000929039,0.000935135,0.000942902,0.000944074,0.000944585,0.000966649,0.000968104,0.000970593,0.000972585,0.000977583,0.000979325,1
4.95E-05,5.13E-05,8.24E-05,0.000134121,0.000174022,0.000202405,0.000210824,0.000223626,0.000265191,0.00030779,0.000310052,0.000322332,0.000338653,0.000344258,0.000358175,0.000360006,0.000365777,0.0003707,0.000378809,0.000385426,0.000388305,0.000389819,0.000395276,0.000397154,0.00043391,0.000435063,0.000437044,0.000449811,0.000450901,0.000459838,0.000471615,0.000477515,0.00047859,0.00048009,0.000490552,0.000496252,0.000498909,0.000505953,0.000506421,0.000512928,0.000513613,0.000518706,0.000527811,0.000539029,0.000542467,0.000545925,0.000547277,0.00055495,0.000555037,0.000555403,0.000568085,0.000574867,0.000584966,0.000588003,0.000588713,0.00059181,0.000604149,0.0006052,0.000608998,0.000609059,0.000611808,0.000612438,0.000636272,0.00064938,0.00064975,0.000652752,0.000656822,0.000671318,0.000686196,0.000690251,0.000692181,0.000699131,0.000699142,0.000714019,0.000714164,0.00071725,0.000732361,0.00073629,0.000745692,0.000747327,0.000779013,0.000781611,0.000782736,0.000791975,0.000792096,0.000793032,0.000798659,0.000800381,0.000810476,0.000816792,0.000824992,0.000826207,0.000829495,0.000842166,0.000851102,0.000854436,0.000855536,0.000859655,0.000862484,0.00086844,0.00087803,0.00087843,0.000896187,0.000903851,0.000914664,0.000915458,0.00092407,0.000924734,0.000931385,0.000932043,0.000932139,0.000937147,0.000940079,0.000942403,0.000960359,0.000962268,0.000962524,0.000963239,0.00096438,0.000966779,0.000968483,0.000973146,0.000988769,0.000989929,0.000993016,0.000993711,0.001005473,0.001010495,1
7.29E-05,0.000132944,0.000176739,0.000181015,0.000199404,0.000207948,0.000209804,0.000217405,0.000255224,0.000256587,0.000270274,0.000276955,0.000280587,0.000293125,0.000317045,0.000367863,0.000367929,0.000369857,0.000397754,0.000418077,0.000418868,0.000425829,0.000429208,0.000438826,0.000457299,0.000459061,0.000463988,0.0004673,0.0004757,0.000476002,0.000484412,0.00050303,0.000505095,0.000505663,0.000516241,0.000525802,0.000548399,0.000563634,0.00056802,0.000571711,0.000592768,0.000598524,0.000601971,0.000607243,0.000608142,0.000614486,0.000624232,0.000638539,0.000647099,0.000663072,0.00066606,0.000667378,0.000684765,0.000691312,0.000695126,0.000701033,0.000703237,0.000711794,0.000716284,0.000718566,0.000725004,0.000725799,0.000727588,0.000730475,0.000731644,0.000732098,0.00073214,0.000744562,0.000746516,0.000755967,0.000757852,0.000761386,0.000768351,0.0007717,0.000782961,0.000786301,0.000787194,0.00079873,0.000803575,0.000809702,0.000825608,0.000828065,0.000828219,0.000835193,0.000859794,0.000865864,0.000872866,0.000880118,0.000884694,0.00088525,0.000890349,0.000903912,0.000910174,0.000912385,0.000931815,0.000933275,0.000935364,0.000938175,0.000939708,0.000940115,0.000940697,0.000942536,0.000942737,0.000949487,0.000952818,0.00095676,0.000958513,0.000962584,0.000964889,0.000982532,0.000985402,0.000997284,0.000998488,0.001003175,0.001009614,0.001009901,0.001012096,0.001015743,0.001016871,0.001016953,0.001017216,0.001019254,0.001023656,0.001025322,0.001025918,0.00102641,0.001032936,0.001044062,1
7.77E-05,0.000113208,0.000134755,0.000141837,0.000146379,0.000155396,0.000189752,0.000193623,0.000203232,0.00020999,0.00021697,0.000242172,0.000260235,0.000265356,0.000330412,0.000370153,0.00039337,0.000409416,0.000431059,0.000445441,0.000450916,0.000475391,0.000492848,0.0004944,0.00049565,0.000503847,0.000514371,0.000519146,0.000529838,0.000530103,0.000537207,0.000545102,0.000545413,0.000546974,0.000557527,0.000581048,0.000583686,0.000587333,0.000588524,0.000593858,0.000594543,0.000594555,0.000613395,0.000617852,0.000620736,0.000632295,0.000634995,0.000652913,0.000666019,0.000666077,0.000686189,0.000692064,0.000694014,0.000700671,0.000704618,0.000705923,0.000707212,0.000737621,0.000742711,0.000756136,0.000772987,0.000773483,0.000773604,0.000776582,0.000778811,0.000780543,0.000801158,0.000806332,0.000809814,0.000815227,0.000815492,0.000818317,0.000826831,0.000831621,0.000831656,0.000833233,0.000844868,0.000847866,0.000856476,0.000859017,0.000861993,0.000866677,0.000874974,0.000879637,0.000880887,0.000889417,0.000891744,0.000897108,0.000901552,0.000901919,0.00090225,0.000907681,0.000915145,0.000916318,0.000917197,0.000917384,0.000918982,0.000921415,0.000924492,0.000936023,0.000948758,0.000954611,0.000955767,0.000957491,0.000961674,0.000966165,0.000966796,0.000969025,0.00097041,0.000980449,0.000995597,0.001006141,0.001009645,0.001011831,0.001018482,0.001019919,0.001021015,0.001021918,0.00102444,0.00102551,0.001030487,0.001031989,0.001032218,0.001038735,0.001046697,0.001052986,0.001055164,0.001055237,1
9.14E-05,0.000110665,0.000190546,0.000212488,0.000215779,0.000219695,0.000241432,0.000252752,0.000261652,0.000277674,0.000278835,0.000285503,0.0003138,0.000344994,0.000380922,0.000413554,0.000414568,0.000418072,0.000431862,0.000434447,0.000435143,0.000436454,0.000442414,0.000447778,0.000454352,0.000454813,0.000464703,0.000478768,0.000478845,0.000480413,0.00049762,0.000500957,0.000503732,0.000515784,0.000517504,0.000519046,0.000522698,0.000539787,0.000541517,0.000545844,0.000552947,0.000553004,0.000564986,0.000576407,0.000580257,0.0005968,0.000597569,0.000598257,0.00060055,0.000610992,0.000611613,0.000634991,0.000637138,0.000639265,0.000640208,0.000640339,0.000646697,0.000653791,0.000663984,0.000664293,0.000678428,0.000680188,0.000683226,0.00069931,0.000713251,0.000725337,0.000725482,0.000726912,0.000729108,0.000730473,0.000731057,0.000746225,0.000752236,0.000754212,0.000754716,0.000755984,0.000759331,0.000765002,0.000768498,0.000773013,0.000774563,0.000779014,0.000788857,0.000793316,0.000799496,0.000802761,0.000806778,0.00081058,0.00081989,0.000828988,0.000829237,0.000830346,0.000834536,0.000847013,0.000849157,0.000852012,0.000854363,0.00086159,0.000864599,0.000867592,0.000868845,0.000873476,0.000874633,0.000874924,0.000880356,0.00088393,0.000889378,0.000889656,0.000890898,0.00089167,0.000894021,0.000896263,0.000896847,0.000898285,0.000898522,0.000906836,0.000908474,0.000908671,0.000910395,0.000925719,0.000928008,0.000928669,0.000933084,0.000937031,0.000943467,0.000944439,0.000945256,0.000946288,1
