1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65
1012,1326,1698,182,1910,1999,2039,2256,240,2650,2870,2900,3038,3317,3406,3479,3576,3865,3872,4033,406,4099,4174,4457,449,4557,4677,4748,4916,4936,4938,5005,5034,5052,5087,5098,5207,5247,5249,526,5285,5307,5324,5443,5513,5538,5674,5720,5723,5839,5934,5970,5992,608,6140,6178,6240,6289,635,6384,6422,6493,6635,6693,1
42,1031,120,1480,2178,2193,225,2354,2474,2715,2802,2851,2927,3115,3151,3294,3317,3413,3433,3549,3796,3824,3891,3926,4206,4242,4346,4375,4432,444,446,4475,4505,4568,4685,4719,474,4807,4844,498,5031,5161,5189,519,5206,521,5661,5785,5845,5905,594,5995,6036,6058,6403,6430,6430,6442,6458,6562,6562,6582,6689,6716,1
1275,167,2116,2272,2299,2418,2437,245,2470,2567,2884,2891,2914,2933,3045,3070,3249,3296,3357,3361,3581,3651,3754,3843,3858,3887,4224,4250,4316,4366,4420,4479,4661,4759,4882,488,4933,5009,5122,5232,5265,5479,553,5592,562,5892,5921,5926,5964,5974,5978,5992,6086,6207,6374,6376,6380,6415,6500,6636,6791,6843,6877,6927,1
69,1185,1338,1843,1943,2062,2363,2381,2406,2647,2848,2971,3133,3178,3224,323,3338,3683,3880,3993,4030,4114,4136,4294,4516,4560,4619,4655,484,498,500,5052,5161,5279,5295,5415,5531,5638,5713,5728,5805,5898,593,5967,6071,6114,6124,6141,6191,6233,6253,6254,6430,6501,6519,6565,6740,6796,685,6987,7017,7024,7064,711,1
99,1256,1455,1792,1887,1998,219,221,2350,2426,2433,2742,2783,2820,2900,3010,3226,3368,3468,3602,3646,3757,3797,419,4227,4677,4713,4843,4869,4906,4951,509,5114,5260,5472,5509,5537,5825,5849,5849,5863,5943,6092,6123,6234,6367,6379,6413,6429,6467,6487,6565,666,6664,6730,6738,6753,6916,6939,7091,7127,713,713,7181,1
87,66,88,1642,1838,1880,1998,2020,2027,2177,2216,2309,2426,258,2718,2849,3053,3178,3189,3308,3409,3460,3604,3691,3709,3723,3793,3816,3995,4029,4171,4189,4194,4287,4311,4321,4437,4444,4450,445,4506,4508,4562,4689,4717,4789,4874,508,5229,5344,5378,5401,5473,5499,5511,5541,5639,5742,5766,5847,5927,6006,6067,6087,1
85,1075,1487,1656,1697,1721,1778,2320,2343,2634,2650,2824,305,3105,3107,3253,3277,3313,341,3630,3777,3883,4015,4310,449,4614,4747,4798,4855,4958,5003,5113,5214,5442,5490,5624,5639,5664,5702,5745,5861,6089,6118,6128,6225,6322,6336,6356,6418,6496,6581,6607,666,667,6787,6855,6886,691,6950,6971,7070,7094,7137,7146,1
79,1137,1573,1688,1749,1845,2040,2071,2133,2290,2436,2443,2628,2710,2717,2847,2891,2958,3077,3261,3401,346,3532,3579,3596,3665,3754,3797,4176,4201,4266,464,4768,4832,4864,494,4946,4949,5021,5080,512,5143,5436,5475,5482,550,562,5729,573,5765,5814,5987,6018,6028,6065,6136,6140,6236,6321,6507,6527,654,6586,6589,1
21,22,46,87,95,1312,1483,1552,1658,1840,1964,2007,2081,2113,2120,2458,2547,2739,2740,2862,2901,2937,3230,3335,3344,3453,3716,3850,4009,4067,4138,4254,4266,4312,4441,4560,4612,4650,4664,4885,499,5003,5174,5254,5425,5430,5433,5536,5645,5746,5777,585,5880,611,6117,6136,6204,6223,6275,6333,6346,6520,6682,690,1
161,1940,2150,2293,2692,2731,2778,2930,2950,3021,3371,3426,3691,3760,3788,3834,4063,4153,4255,4311,4376,4424,4495,449,4977,504,5114,5134,5158,5182,5362,5468,5665,5942,594,6043,611,6235,6239,6245,6426,6437,6610,6659,6713,6881,6893,695,7196,7221,7232,7298,7406,7538,7553,763,7693,777,7780,7860,7892,8085,8104,8215,1
