1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
5.54E-05,9.40E-05,0.000158349,0.000185109,0.000204603,0.000269281,0.000275984,0.000329552,0.000346673,0.000357912,0.000358281,0.000364951,0.000374231,0.000375835,0.000376291,0.000381607,0.000391893,0.000395294,0.000401784,0.000405608,0.000418435,0.000420917,0.000437443,0.000462736,0.000502014,0.000503786,0.000510391,0.000514379,0.000515797,0.00051632,0.00052163,0.00052501,1
7.84E-05,0.000152918,0.000169028,0.000199396,0.000209151,0.000234743,0.000253762,0.000256271,0.000268739,0.000282599,0.000311843,0.000318439,0.000319779,0.000332329,0.000337042,0.000344221,0.0003535,0.000354244,0.000357898,0.000359999,0.000365443,0.000370925,0.000376407,0.000378407,0.000378663,0.000388726,0.00039358,0.000396413,0.000401491,0.000405416,0.000413313,0.000418411,1
1.63E-06,8.57E-05,0.000127846,0.000171863,0.000200945,0.000205773,0.000212607,0.000257988,0.000267975,0.000269364,0.000280523,0.000291313,0.000291755,0.000315917,0.000324637,0.000328006,0.000334553,0.0003442,0.000350317,0.000353686,0.000357919,0.000362902,0.000378603,0.000393307,0.000398345,0.000400372,0.000406693,0.000414532,0.000428088,0.000472342,0.000480219,0.000493363,1
3.84E-05,7.43E-05,0.000115111,0.000135608,0.000138104,0.000167817,0.000232038,0.000241221,0.000273586,0.000274203,0.000291968,0.000297615,0.000305315,0.000315867,0.000343742,0.000368309,0.000384362,0.000387903,0.000388284,0.00040057,0.000405369,0.000408628,0.000417759,0.000418027,0.000441591,0.00044657,0.000447928,0.000459839,0.000465423,0.000476991,0.000487295,0.000489486,1
5.29E-05,7.35E-05,7.95E-05,0.000121733,0.000132303,0.000185702,0.000189009,0.000191647,0.000209085,0.000251938,0.000280069,0.000281999,0.00031913,0.000326393,0.000330919,0.00033113,0.000337855,0.000361729,0.000372531,0.000388342,0.000395701,0.000427776,0.000427997,0.000428502,0.000428919,0.000436703,0.000440753,0.000447557,0.00045455,0.000454789,0.000459643,0.000477393,1
7.32E-05,0.000212555,0.000222344,0.000222619,0.000230904,0.000232731,0.000246553,0.000259485,0.000281221,0.000297286,0.000310436,0.000317024,0.000333165,0.000333736,0.000333949,0.000337228,0.000349968,0.000354505,0.000372053,0.000376111,0.000392268,0.000392327,0.000401681,0.000401715,0.000403988,0.00040465,0.000413539,0.000426031,0.000428827,0.000429869,0.000437154,0.000448177,1
4.95E-05,5.13E-05,8.24E-05,0.000134121,0.000174022,0.000202405,0.000210824,0.000223626,0.000265191,0.00030779,0.000310052,0.000322332,0.000338653,0.000344258,0.000358175,0.000360006,0.000365777,0.0003707,0.000378809,0.000385426,0.000388305,0.000389819,0.000395276,0.000397154,0.00043391,0.000435063,0.000437044,0.000449811,0.000450901,0.000459838,0.000471615,0.000477515,1
7.29E-05,0.000132944,0.000176739,0.000181015,0.000199404,0.000207948,0.000209804,0.000217405,0.000255224,0.000256587,0.000270274,0.000276955,0.000280587,0.000293125,0.000317045,0.000367863,0.000367929,0.000369857,0.000397754,0.000418077,0.000418868,0.000425829,0.000429208,0.000438826,0.000457299,0.000459061,0.000463988,0.0004673,0.0004757,0.000476002,0.000484412,0.00050303,1
7.77E-05,0.000113208,0.000134755,0.000141837,0.000146379,0.000155396,0.000189752,0.000193623,0.000203232,0.00020999,0.00021697,0.000242172,0.000260235,0.000265356,0.000330412,0.000370153,0.00039337,0.000409416,0.000431059,0.000445441,0.000450916,0.000475391,0.000492848,0.0004944,0.00049565,0.000503847,0.000514371,0.000519146,0.000529838,0.000530103,0.000537207,0.000545102,1
9.14E-05,0.000110665,0.000190546,0.000212488,0.000215779,0.000219695,0.000241432,0.000252752,0.000261652,0.000277674,0.000278835,0.000285503,0.0003138,0.000344994,0.000380922,0.000413554,0.000414568,0.000418072,0.000431862,0.000434447,0.000435143,0.000436454,0.000442414,0.000447778,0.000454352,0.000454813,0.000464703,0.000478768,0.000478845,0.000480413,0.00049762,0.000500957,1
