1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
799.9560884,21.62143847,9.603374748,15.01871378,1.553572498,4.150225626,7.06104834,5.873942377,0.241137725,0.750146545,1.344224981,1.057003179,0.830562128,0.850873101,1.518200546,1.186686596,1
799.8979654,13.33641867,6.164960618,8.987709729,1.001447004,1.655503563,5.701985565,3.879486353,0.176159356,0.356223006,0.982242713,0.680253649,0.299431805,0.401502364,0.885408358,0.572165133,1
790.0265479,17.70405721,7.354482837,12.80230352,1.07883784,3.237906611,5.187849734,4.169973925,0.196684517,0.596369884,0.880843287,0.751840168,0.556203704,0.664439783,1.043336094,0.982559065,1
792.1650521,16.58899743,12.75250209,14.02837564,1.761527874,3.485574585,9.625515374,6.473795527,0.30005133,0.654493277,1.66149677,1.17962993,0.950776885,0.973971023,1.728836864,1.505697268,1
788.4000143,11.13966042,6.439092161,7.283758708,0.813966151,2.131685414,4.893826014,2.875662599,0.122532391,0.385887426,0.805235195,0.504986939,0.405389039,0.591322707,0.826575849,0.727671699,1
797.0739268,13.99114726,12.45685296,15.34499014,1.776544711,4.331757086,11.11746669,6.8619962,0.268572478,0.672979063,1.932337259,1.151849314,0.96143813,0.962167824,2.195136723,1.930969514,1
834.6306801,7.863848654,4.103040567,4.342984735,0.710697289,1.042206622,2.911627482,1.684038992,0.109297102,0.205234243,0.476419982,0.272932803,0.269085557,0.24176817,0.679931883,0.471226407,1
779.0028386,14.56807216,8.160802228,10.67870495,1.597945759,3.030911452,7.738680663,6.428520701,0.245994979,0.510945435,1.266391038,0.982598331,0.5278627,1.000618172,1.599012929,1.462987393,1
781.7394135,16.04833133,9.47421064,14.8632479,1.327874165,3.450765609,8.654353238,4.895395245,0.215063722,0.61237125,1.5160875,0.841511926,0.62162557,0.624146447,1.53448935,1.075743418,1
786.0890443,17.45989237,7.700331213,10.20415364,1.010872996,2.857040627,4.257880407,3.29035956,0.188935279,0.495564583,0.712623811,0.594890147,0.46245552,0.669242877,1.177006165,1.146416999,1
785.2921914,16.8719272,11.63292817,13.75575369,2.101618633,4.229696157,9.726003258,6.776152071,0.29199114,0.717556879,1.605514116,1.122194551,0.780976378,0.877537359,2.129887597,1.891271179,1
781.936853,15.76451775,8.976169626,15.09619805,1.807257318,3.353351235,9.75480746,7.566833548,0.212929851,0.59693422,1.667200467,1.167379413,0.903140147,0.922720865,2.098756497,1.765422835,1
780.9674174,17.6934563,11.50504487,12.37299622,1.274771168,2.941995025,9.474402855,5.433813003,0.232328609,0.552829168,1.613592819,1.002273238,0.553556932,0.757147144,1.817624212,1.198372972,1
785.5771255,20.36616882,14.01529261,12.87920712,2.132875479,4.140075268,12.0067807,6.587859637,0.287183729,0.657087871,1.977477338,1.043522286,0.845144366,0.95255358,2.592479487,1.623661419,1
781.1915403,17.29683812,8.693320017,13.76874709,1.105372879,3.295305275,7.512989554,4.050277181,0.195731295,0.643757363,1.216412578,0.724623225,0.606207357,0.829972962,1.290565065,1.1072659,1
