1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Class
774.4168624,9.336554371,8.393847832,7.808823787,2.775145994,6.242342061,7.572818465,5.031131952,1.878777019,2.413237875,2.824294944,2.487064909,4.156269892,3.684247295,4.178854733,2.999341864,car
776.4712804,11.55746368,5.120122617,6.74909871,3.788935275,1.853103827,4.313240696,3.381138872,1.603952607,1.432490183,1.446676632,1.681841196,3.713391691,1.917587323,1.689216302,1.667514413,car
766.8482855,11.78466156,5.805423222,5.588177623,3.800537383,2.986421949,7.384969436,3.532128437,1.864167833,2.252413704,1.828225963,1.409675337,4.454989316,2.61287489,2.278374724,3.456064587,car
775.4774335,8.74436089,3.104827121,4.838430562,4.985493231,3.700746523,4.879441556,3.023316117,2.776345429,3.393231643,2.953288601,3.629636415,4.149458142,3.148490676,2.484274454,4.246152364,car
769.7609885,10.8245235,3.915304254,3.899198009,3.70015405,2.105710659,3.331753921,2.002041787,1.046253422,1.846252329,1.854899571,1.691686839,2.85428309,1.673667583,1.347656588,1.408151446,car
777.3581787,6.004055506,6.68988463,7.021807983,3.469916652,3.031620642,4.421394552,3.068215417,3.337792932,3.204164564,2.392011261,3.522884205,3.412413263,4.796310582,4.515370236,2.620896057,car
801.7638065,20.00310773,5.87219034,6.99157554,1.721237145,2.498564651,1.82269992,1.821346939,0.960029488,1.096233574,1.046052691,1.000724815,1.464111398,1.123981106,0.822706049,0.932186183,car
766.8240285,3.109710839,3.160533319,5.908565914,3.103270597,2.699489056,6.223477377,2.541835127,1.340941886,2.586346662,2.776731759,1.456781921,2.782429601,2.681785257,2.718637391,2.495852697,car
765.9172511,5.613546584,5.530015113,4.678600693,2.702865575,3.135421623,4.894797827,5.315246309,1.300628581,2.502703094,3.262186545,2.408692419,3.673791528,5.402714941,3.314673797,2.472067639,car
765.1337283,5.289269505,10.61164467,5.054401834,2.611001546,2.688440179,8.36441354,3.796037103,1.647675688,1.680762584,2.471291822,1.90060112,3.154995774,2.384621819,2.687967269,1.976568779,car
770.3230463,5.143964554,3.83389187,5.991288658,4.174181379,3.688484271,4.88567824,4.123583315,2.90871857,2.564512746,2.849953422,3.309743427,3.422036061,3.989311653,3.097143143,3.24726283,car
