1,2,3,4,5,6,7
0.17162653,0.220816112,0.228703332,0.212832229,0.247545163,0.254948708,1
0.121227241,0.120072576,0.137138076,0.161361847,0.159066922,0.149637797,1
0.135724237,0.140742765,0.134105358,0.148984345,0.132820878,0.121665838,1
0.146668876,0.214626824,0.181620516,0.144944518,0.128089029,0.118395834,1
0.232812047,0.242757235,0.222571344,0.262654756,0.210640058,0.200671154,1
0.1574456,0.188978814,0.231674936,0.261669921,0.321607129,0.282168508,1
0.221464878,0.23205714,0.297064013,0.271347254,0.244523183,0.22623144,1
0.222545658,0.257393616,0.377696169,0.287973793,0.346545167,0.217610677,1
0.272613791,0.273359201,0.238277713,0.21702097,0.205076524,0.199094632,1
0.173471773,0.162970507,0.188700694,0.225622728,0.163409112,0.150486802,1
0.154885935,0.155642583,0.141756556,0.197502387,0.178986694,0.147429256,1
0.327420334,0.374439011,0.41950332,0.384846204,0.376255694,0.347418888,1
0.201117601,0.247774931,0.313485555,0.316460103,0.30100069,0.361323151,1
0.320643194,0.34908967,0.383127928,0.34957302,0.384421504,0.326863152,1
0.357677648,0.362326794,0.439464215,0.412766524,0.381032006,0.344074941,1
0.293858649,0.329213259,0.325708264,0.353205657,0.313920407,0.346128624,1
0.322770899,0.393241568,0.466302941,0.497620589,0.532415197,0.493836552,1
0.345484222,0.390372226,0.35847118,0.363304209,0.310766085,0.336513042,1
0.288669406,0.346198136,0.362595853,0.409725773,0.364675137,0.337629351,1
0.227522524,0.269274629,0.376858127,0.418372485,0.381956185,0.433298911,1
0.22444306,0.272951174,0.294045115,0.278590239,0.313338915,0.31146332,1
0.335173049,0.378529317,0.395221122,0.30958018,0.297241832,0.310948894,1
0.29013569,0.297120186,0.300017203,0.303195322,0.280282576,0.255462718,1
0.331276396,0.388090168,0.34128915,0.380323952,0.406261977,0.354496464,1
0.279395271,0.329160793,0.325782291,0.311117097,0.293367796,0.295744562,1
0.324936884,0.294124101,0.295804361,0.356505948,0.344219423,0.412707983,1
0.276241241,0.349619837,0.292037511,0.368928928,0.357154206,0.3062672,1
0.251996599,0.314274256,0.323933539,0.273935058,0.266990802,0.252703319,1
0.37620193,0.408815092,0.469336698,0.552436113,0.536199594,0.567733343,1
0.493011684,0.627184799,0.587498875,0.623102291,0.436015755,0.357873351,1
0.499439789,0.619152004,0.626201355,0.584248772,0.418087847,0.391334074,1
0.493088555,0.514195032,0.467208872,0.413390202,0.380493647,0.320604924,1
0.498204038,0.590225252,0.490722065,0.498035768,0.403698033,0.351829092,1
0.306244824,0.434141119,0.442925143,0.505417944,0.506657213,0.430568622,1
0.531382077,0.483399927,0.44554919,0.43704995,0.338352486,0.331000815,1
0.282588778,0.294607554,0.380211162,0.422191628,0.448625471,0.511417179,1
0.376777232,0.45403702,0.505129253,0.481428665,0.420829853,0.371254438,1
0.335650604,0.375465094,0.393977017,0.451136828,0.431303001,0.425131155,1
