1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Class
771.9050721,2.511790314,7.065696257,2.270858114,6.938116258,1.455731574,6.225804295,1.583019491,1.347113955,1.428032039,4.980389839,1.261952221,4.577295219,2.995523246,2.795512809,2.235619143,1.177665605,0.701111414,1.31961901,1.093618866,1.952175004,0.87211994,1.448521659,1.03854325,2.274095526,1.882174366,2.219025225,1.46522207,2.631161005,1.547693729,1.592090633,1.407251232,cars
772.3069395,4.164340847,4.701092756,6.856370921,2.81991259,2.300210028,3.465751263,3.283347448,2.354342407,1.434592868,0.765053553,1.088050275,1.588659026,2.724581669,1.283020665,2.098118208,0.573376651,1.030575956,0.839407512,0.593082671,0.68671203,0.759964602,0.648047005,1.033794191,1.131613946,2.581777745,1.10281242,0.814774903,1.113941824,0.575274477,0.371775467,1.295738946,cars
765.2747981,1.573487384,9.567903299,2.216758259,4.592453895,1.212969327,4.784662958,0.803514665,2.313988888,1.486548495,1.911397763,1.075024187,6.281324484,1.103644953,2.626662512,0.905465925,1.065088399,0.799079434,1.349792342,0.902621362,1.550777672,0.27744829,0.864913482,0.544761855,3.105454089,1.349535227,1.309207053,1.303667836,1.144898227,1.133476497,2.263659704,1.192404884,cars
771.7585014,3.718932119,5.891188431,2.853172459,1.841920735,1.262906386,3.006689491,1.831741071,2.97458517,2.010908061,0.786682609,2.914063914,2.709836726,2.16960483,1.189618939,1.833697178,1.048632382,1.727713047,2.554039074,0.839192568,2.163383424,0.789905177,1.900881919,1.728754497,2.156839514,1.992618628,1.548134003,1.600356673,1.604507912,0.879766542,2.494787876,1.751364489,cars
768.038244,1.722744505,5.324860464,5.499663037,1.947808327,1.967495927,1.467488301,2.431709708,2.523276736,1.176877313,1.079878873,1.025831786,1.978355656,1.353398265,0.888625499,1.113416288,0.435055235,0.611198187,1.285482792,0.560769537,0.962280764,0.892618807,0.970642321,0.721044518,1.9589455,0.89533759,1.041438752,0.632228831,0.49851099,0.849145598,0.6333731,0.774778347,cars
772.9203455,4.437833228,4.173860976,1.830194531,4.495852713,2.194031917,4.942962159,2.078845825,1.404326699,2.065589953,1.586597301,1.445023341,3.087984778,1.333409774,2.044899707,1.02331571,1.353416027,1.984376905,1.645412842,1.558751722,0.707445915,1.684565345,1.78950174,1.733382465,1.713669383,1.698743879,2.014777474,2.781533109,2.68015278,1.835217457,0.90931266,1.711583397,cars
775.2179029,26.54590354,5.112004354,14.89110337,2.00951941,3.862670929,2.690827592,4.300747948,0.706134584,1.015102561,1.313217145,1.185347506,1.105635758,0.717064162,0.942031643,0.879315296,0.510913078,0.44911641,0.483032335,0.613201239,0.541558614,0.504494076,0.531042267,0.469682548,0.963175147,0.50093625,0.377898123,0.746082983,0.382040635,0.440665414,0.605436109,0.326750074,cars
765.0694914,1.754537096,1.586722279,1.52298856,1.942575515,1.217957804,4.439833471,1.468732443,1.51544475,1.587825847,1.326646801,1.372842256,4.362012941,1.861464436,1.985889062,0.555946064,0.493228124,0.847713762,1.479885451,1.106461211,1.407972748,1.368759011,0.662269825,0.794512096,2.031583863,0.750845738,1.6857335,0.996051757,1.678144242,1.040493149,1.346602994,1.149249703,cars
764.6921848,1.225066343,3.029572256,2.583974327,3.328867464,2.201147649,3.775504466,0.903096227,1.775950346,0.926915229,2.210170179,0.925251444,2.968965955,1.925831872,3.59230888,1.72293743,0.393396931,0.907231651,1.574582648,0.928120446,2.036656303,1.225530242,1.451668979,0.95702344,2.34981021,1.323981318,4.001187488,1.401527452,1.482810569,1.831863228,1.296633274,1.175434365,cars
763.6024921,1.531236222,4.352307024,0.936962481,8.387722766,2.223921902,4.338098709,0.716303125,1.484153314,1.126848233,1.821736532,0.866703647,7.260246624,1.104166915,2.341994564,1.454042539,1.031195994,0.616479694,1.222076168,0.458686416,1.90120283,0.570088992,0.861355292,1.039245828,1.87910544,1.275890333,1.699673102,0.684948717,1.621740652,1.066226617,1.047766207,0.928802573,cars
